Number,Mark,Grade,Gender,Age,PO,FFS,Fsupport,PocketMoney,Feeding,Distance,NegativeIH,QualityTeacher,TStR,NRoll, PVC,CondC,DYESM,SH,HODYDH,DYMS,ALM,ExtC,ExtraCA,Activity, NIOA
72,28,6,0,1,Pastor,M,Good,11 cedis and above,2,Close,No,Average,Excellent,26,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,Yes,Sports,No
73,28,6,1,1,DVLA worker,high,Good,6-10 cedis,3,Far,No,Excellent,Good,26,No,No,Yes,2 hours and above,Irregularly,Sometimes,No,Yes,Yes,Sports,Yes
74,28,6,1,1,Civil Servant,high,Good,11 cedis and above,2,Far,No,Excellent,Excellent,25,Yes,Yes,Yes,2 hours and above,Irregularly,Not at all,No,No,No,,
75,29,6,1,1,Banker,high,Good,11 cedis and above,3,very Far,No,Average,Excellent,26,Yes,Yes,Maybe,1 hour,Regularly,Not at all,No,No,No,,
76,30,6,1,2,Accountant,M,Good,11 cedis and above,3,Far,No,Excellent,Excellent,26,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
77,30,6,0,2,Engineer,M,Good,11 cedis and above,3,Far,No,Excellent,Excellent,26,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,No,No,,
78,30,6,0,1,Banker,high,Good,6-10 cedis,3,Far,No,Excellent,Good,38,Yes,No,Yes,less than an hour,Regularly,Often,Yes,Yes,No,,
79,30,6,0,1,Administrator,M,Fair,6-10 cedis,2,very Far,No,Excellent,Excellent,26,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
80,31,6,0,1,Trader,M,Good,6-10 cedis,3,Close,Maybe,Excellent,Excellent,20,Yes,Maybe,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
81,31,6,0,1,Trader,M,Good,11 cedis and above,3,Far,No,Excellent,Excellent,39,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
82,32,6,0,1,Teacher,M,Good,11 cedis and above,2,Close,No,Excellent,Excellent,39,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
83,32,6,0,2,Trader,M,Good,11 cedis and above,3,Far,No,Excellent,Excellent,39,Maybe,Maybe,Yes,less than an hour,Regularly,Sometimes,Yes,Yes,No,,
84,32,6,0,1,Administrator,M,Good,6-10 cedis,3,very Far,No,Excellent,Good,38,Yes,Yes,Yes,2 hours and above,Regularly,Sometimes,Yes,Yes,No,,
85,33,6,0,1,Trader,M,Good,11 cedis and above,2,Close,No,Excellent,Excellent,38,Yes,Yes,Maybe,2 hours and above,Regularly,Not at all,Yes,No,No,,
86,33,6,0,1,Trader,M,Good,11 cedis and above,3,Far,No,Excellent,Excellent,38,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
87,33.5,6,1,1,Teacher,M,Good,11 cedis and above,3,very Far,No,Excellent,Good,38,Yes,Maybe,Maybe,less than an hour,Regularly,Not at all,Yes,No,No,,
